,Open,Open,Open,High,High,High,Low,Low,Low,Close,Close,Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume
,GOOG,IWM,SPY,GOOG,IWM,SPY,GOOG,IWM,SPY,GOOG,IWM,SPY,GOOG,IWM,SPY,GOOG,IWM,SPY
Date,,,,,,,,,,,,,,,,,,
2010-12-31,296.441925,78.66999799999999,125.529999,297.276489,78.879997,125.870003,294.102142,78.16999799999999,125.33000200000001,295.06588700000003,78.239998,125.75,295.06588700000003,69.48318499999999,106.49718500000002,3098500,33323500,91218900
2011-01-03,296.312775,78.940002,126.709999,300.838348,80.019997,127.599998,296.312775,78.730003,125.699997,300.222351,79.599998,127.050003,300.222351,70.69099399999999,107.598145,4761100,48878000,138725200
2011-01-04,300.853241,79.839996,127.33000200000001,301.131439,79.900002,127.370003,298.121002,77.57,126.190002,299.114563,78.41999799999999,126.980003,299.114563,69.643051,107.53887900000001,3672700,77509000,137409700
2011-01-05,298.096161,78.400002,126.58000200000001,303.19302400000004,79.360001,127.720001,298.086243,78.110001,126.459999,302.567078,79.339996,127.639999,302.567078,70.460091,108.097839,5097500,47145300,133975300
2011-01-06,303.366882,79.400002,127.690002,307.216858,79.529999,127.83000200000001,303.053925,78.650002,127.010002,304.767792,78.970001,127.389999,304.767792,70.131508,107.88610800000001,4142300,39392300,122519000
2011-01-07,305.964996,79.239998,127.559998,307.12744100000003,79.440002,127.769997,303.093658,77.440002,126.150002,306.228271,78.519997,127.139999,306.228271,69.73188,107.674393,4229700,59486800,156034600
2011-01-10,305.41357400000004,78.239998,126.58000200000001,305.706665,79.290001,127.160004,302.31375099999997,77.620003,126.199997,305.12048300000004,78.970001,126.980003,305.12048300000004,70.131508,107.53887900000001,3178800,55020300,122401700
2011-01-11,306.859192,79.360001,127.440002,307.400665,79.68,127.739998,305.26455699999997,78.870003,126.949997,306.014679,79.290001,127.43,306.014679,70.415688,107.919991,2897200,42124300,110287000
2011-01-12,307.67388900000003,79.940002,128.21000700000002,307.67388900000003,80.129997,128.720001,305.398682,79.510002,127.459999,306.44189500000005,79.970001,128.580002,306.44189500000005,71.0196,108.893906,3286500,38442600,107929200
